Barcode,Taxon1,Taxon2,Taxon3
barcode05,Lactobacillus gasseri,Lactobacillus gasseri DSM 14869,Lactobacillus gasseri ATCC 33323 = JCM 1131
barcode02,Lactobacillus acidophilus,Lactobacillus rhamnosus,Lactobacillus brevis
barcode03,Lactobacillus plantarum,Lactobacillus plantarum subsp. plantarum,Lactobacillus plantarum subsp. plantarum P-8
barcode04,Lactobacillus brevis,Lactobacillus brevis KB290,Lactobacillus brevis ATCC 367
barcode06,Lactobacillus rhamnosus,Lactobacillus rhamnosus DSM 14870,Lactobacillus rhamnosus Lc 705
barcode01,Lactobacillus acidophilus,Lactobacillus rhamnosus,Lactobacillus brevis
barcode02,Lactobacillus acidophilus,Lactobacillus rhamnosus,
unclassified,Lactobacillus rhamnosus,Lactobacillus acidophilus,Lactobacillus brevis
barcode06,Lactobacillus rhamnosus,Lactobacillus paracasei,Lactobacillus paracasei N1115
